,label_0,freq_0,label_1,freq_1,label_2,freq_2,label_3,freq_3,label_4,freq_4,label_5,freq_5
0,"('Characterizing Exoplanet Habitability', 'Searching for the Transit of the Earth--mass exoplanet Proxima~Centauri~b in Antarctica: Preliminary Result', 'Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra', 'Centroid vetting of transiting planet candidates from the Next Generation Transit Survey', 'Likely Transiting Exocomets Detected by Kepler')",11.0,"('Adaptive Diffusion Processes of Time-Varying Local Information on Networks', 'A supervised approach to time scale detection in dynamic networks', 'On Efficiently Detecting Overlapping Communities over Distributed Dynamic Graphs', 'Detecting Topological Changes in Dynamic Community Networks', 'Dynamic Laplace: Efficient Centrality Measure for Weighted or Unweighted Evolving Networks')",18,"('Impact of Optimal Storage Allocation on Price Volatility in Electricity Markets', 'Factoring the Cycle Aging Cost of Batteries Participating in Electricity Markets')",10.0,"('Development of probabilistic dam breach model using Bayesian inference', 'On constraining projections of future climate using observations and simulations from multiple climate models', 'Analysis of Annual Cyclone Frequencies over Bay of Bengal: Effect of 2004 Indian Ocean Tsunami', 'Probabilities of causation of climate changes', 'Trends in European flood risk over the past 150 years')",15.0,"('Kinetics of Protein-DNA Interactions: First-Passage Analysis', 'Eigensolutions and spectral analysis of a model for vertical gene transfer of plasmids', 'Kinky DNA in solution: Small angle scattering study of a nucleosome positioning sequence', 'Strong deformations of DNA: Effect on the persistence length', 'The self-referring DNA and protein: a remark on physical and geometrical aspects', 'End-to-end distance and contour length distribution functions of DNA helices', 'Kinetic Trans-assembly of DNA Nanostructures', 'Frictional Effects on RNA Folding: Speed Limit and Kramers Turnover', 'Single-molecule imaging of DNA gyrase activity in living Escherichia coli', 'Determinants of cyclization-decyclization kinetics of short DNA with sticky ends', 'Unveiled electric profiles within hydrogen bonds suggest DNA base pairs with similar bond strengths', 'Short DNA persistence length in a mesoscopic helical model', 'DNA Base Pair Mismatches Induce Structural Changes and Alter the Free Energy Landscape of Base Flip', 'Spontaneous domain formation in disordered copolymers as a mechanism for chromosome structuring', 'Parallel G-duplex and C-duplex DNA with Uninterrupted Spines of AgI-Mediated Base Pairs')",17.0,"('Integrating electricity markets: Impacts of increasing trade on prices and emissions in the western United States', 'Extended opportunity cost model to find near equilibrium electricity prices under non-convexities', 'Token Economics in Energy Systems: Concept, Functionality and Applications')",25.0
1,"('Duality and Universal Transport in a Mixed-Dimension Electrodynamics', 'Heisenberg equation for a nonrelativistic particle on a hypersurface: from the centripetal force to a curvature induced force')",11.0,"('High Dynamic Range Imaging Technology', 'Two-pixel polarimetric camera by compressive sensing')",17,"('Small subgraphs and their extensions in a random distance graph', 'A gradient estimate for nonlocal minimal graphs')",9.0,"('Reinforcement Learning using Augmented Neural Networks', 'Self-Imitation Learning')",11.0,"('Recurrent Deep Embedding Networks for Genotype Clustering and Ethnicity Prediction', 'Deep SNP: An End-to-end Deep Neural Network with Attention-based Localization for Break-point Detection in SNP Array Genomic data', 'Analysis of Extremely Obese Individuals Using Deep Learning Stacked Autoencoders and Genome-Wide Genetic Data')",16.0,"(""Are Bitcoin Bubbles Predictable? Combining a Generalized Metcalfe's Law and the LPPLS Model"", 'Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks', 'Multi-channel discourse as an indicator for Bitcoin price and volume movements', 'Herding behavior in cryptocurrency markets', 'Multivariate stable distributions and their applications for modelling cryptocurrency-returns', 'The Price of BitCoin: GARCH Evidence from High Frequency Data')",20.0
2,"('Jamming transitions induced by an attraction in pedestrian flow', 'Analytical and simulation studies of pedestrian flow at a crossing with random update rule')",9.0,"('Fault Tolerant Consensus Agreement Algorithm', 'State-dependent Priority Scheduling for Networked Control Systems', 'Optimal Non-blocking Decentralized Supervisory Control Using G-Control Consistency', 'Performance Improvement in Noisy Linear Consensus Networks with Time-Delay')",12,"(""La notion d'involution dans le Brouillon Project de Girard Desargues"", 'Variations on a Visserian Theme')",9.0,"('Adversarial Examples: Opportunities and Challenges', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'Adversarial classification: An adversarial risk analysis approach', 'Handling Adversarial Concept Drift in Streaming Data', 'Detecting Adversarial Examples via Key-based Network')",11.0,"('Deciphering noise amplification and reduction in open chemical reaction networks', 'Stochastic Chemical Reaction Networks for Robustly Approximating Arbitrary Probability Distributions', 'Mechanism Deduction from Noisy Chemical Reaction Networks', 'Joining and decomposing reaction networks', 'Tier structure of strongly endotactic reaction networks')",15.0,"('Assessing the state of e-Readiness for Small and Medium Companies in Mexico: a Proposed Taxonomy and Adoption Model', 'Exploring the nuances in the relationship ""culture-strategy"" for the business world', 'Academic Engagement and Commercialization in an Institutional Transition Environment: Evidence from Shanghai Maritime University', 'Contemporary facets of business successes among leading companies, operating in Bulgaria', 'Shattering the glass ceiling? How the institutional context mitigates the gender gap in entrepreneurship')",16.0
3,"('The Two-fold Role of Observables in Classical and Quantum Kinematics', 'On the Status of the Measurement Problem: Recalling the Relativistic Transactional Interpretation')",9.0,"('An Effective Framework for Constructing Exponent Lattice Basis of Nonzero Algebraic Numbers', 'Faster integer and polynomial multiplication using cyclotomic coefficient rings')",12,"('A Projection-Based Reformulation and Decomposition Algorithm for Global Optimization of a Class of Mixed Integer Bilevel Linear Programs', 'The many faces of degeneracy in conic optimization')",9.0,"('The challenge of realistic music generation: modelling raw audio at scale', 'A Generative Model for Natural Sounds Based on Latent Force Modelling')",10.0,"('Characterizing complex networks using Entropy-degree diagrams: unveiling changes in functional brain connectivity induced by Ayahuasca', 'The Frequent Network Neighborhood Mapping of the Human Hippocampus Shows Much More Frequent Neighbor Sets in Males Than in Females', 'Finding influential nodes for integration in brain networks using optimal percolation theory', 'Topological Brain Network Distances', 'Combined MEG and fMRI Exponential Random Graph Modeling for inferring functional Brain Connectivity', 'Brain networks reveal the effects of antipsychotic drugs on schizophrenia patients and controls')",14.0,"('Risk-neutral valuation under differential funding costs, defaults and collateralization', 'A closed formula for illiquid corporate bonds and an application to the European market', 'Evaluation of equity-based debt obligations', 'An Enhanced Initial Margin Methodology to Manage Warehoused Credit Risk')",10.0
4,"('Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy', 'Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'Anisotropy and multiband superconductivity in Sr2RuO4', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals')",9.0,"('New quantum mds constacylıc codes', 'Arithmetic Circuits for Multilevel Qudits Based on Quantum Fourier Transform')",12,"('When a triangle is isosceles?', 'Erratum to: Medial axis and singularities')",9.0,"('Domain Generalization by Marginal Transfer Learning', 'Towards more Reliable Transfer Learning', 'Heterogeneous Transfer Learning: An Unsupervised Approach', 'Unsupervised Domain Adaptation Based on Source-guided Discrepancy')",9.0,"('$\\mathcal{R}_{0}$ fails to predict the outbreak potential in the presence of natural-boosting immunity', 'Global stability of a network-based SIRS epidemic model with nonmonotone incidence rate', 'Robust parameter determination in epidemic models with analytical descriptions of uncertainties', 'Who is the infector? Epidemic models with symptomatic and asymptomatic cases', 'Expected Time to Extinction of SIS Epidemic Model Using Quasy Stationary Distribution', 'On the scaling patterns of infectious disease incidence in cities', 'The Impact of Information Dissemination on Vaccinating Epidemics in Multiplex Networks', 'Vulnerability to pandemics in a rapidly urbanizing society', 'Epidemiological impact of waning immunization on a vaccinated population', 'Early warning signals in plant disease outbreaks', 'Spatial Models of Vector-Host Epidemics with Directed Movement of Vectors Over Long Distances', 'Endemicity and prevalence of multipartite viruses under heterogeneous between-host transmission')",11.0,"('Integrating electricity markets: Impacts of increasing trade on prices and emissions in the western United States', 'Extended opportunity cost model to find near equilibrium electricity prices under non-convexities', 'Token Economics in Energy Systems: Concept, Functionality and Applications', 'Econometric modelling and forecasting of intraday electricity prices')",9.0
5,"('The Two-fold Role of Observables in Classical and Quantum Kinematics', 'Quantum Speed Limit is Not Quantum', 'Axiomatic quantum mechanics: Necessity and benefits for the physics studies', 'On the Status of the Measurement Problem: Recalling the Relativistic Transactional Interpretation', ""Bohm's approach to quantum mechanics: Alternative theory or practical picture?"")",8.0,"('Adaptive Diffusion Processes of Time-Varying Local Information on Networks', 'A supervised approach to time scale detection in dynamic networks', 'Detecting Topological Changes in Dynamic Community Networks', 'Dynamic Laplace: Efficient Centrality Measure for Weighted or Unweighted Evolving Networks')",11,"('Uniform Spectral Convergence of the Stochastic Galerkin Method for the Linear Semiconductor Boltzmann Equation with Random Inputs and Diffusive Scalings', 'Strong Convergence Rate of Splitting Schemes for Stochastic Nonlinear Schrödinger Equations', 'The Discrete Stochastic Galerkin Method for Hyperbolic Equations with Non-smooth and Random Coefficients')",8.0,"('On constraining projections of future climate using observations and simulations from multiple climate models', 'Analysis of Annual Cyclone Frequencies over Bay of Bengal: Effect of 2004 Indian Ocean Tsunami', 'Trends in European flood risk over the past 150 years')",9.0,"('Effects of atrial fibrillation on the arterial fluid dynamics: a modelling perspective', 'Fluid-Structure Interaction for the Classroom: Interpolation, Hearts, and Swimming!', 'Modeling human intuitions about liquid flow with particle-based simulation')",9.0,"('Dynamical regularities of US equities opening and closing auctions', 'Cross-Sectional Variation of Intraday Liquidity, Cross-Impact, and their Effect on Portfolio Execution', 'Effects of a Price limit Change on Market Stability at the Intraday Horizon in the Korean Stock Market', 'The cooling-off effect of price limits in the Chinese stock markets')",9.0
6,"('A System of Three Super Earths Transiting the Late K-Dwarf GJ 9827 at Thirty Parsecs', 'Characterizing Exoplanet Habitability', 'Searching for the Transit of the Earth--mass exoplanet Proxima~Centauri~b in Antarctica: Preliminary Result', 'The LCES HIRES/Keck Precision Radial Velocity Exoplanet Survey', 'Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra', 'Centroid vetting of transiting planet candidates from the Next Generation Transit Survey', 'The GAPS Programme with HARPS-N@TNG XIV. Investigating giant planet migration history via improved eccentricity and mass determination for 231 transiting planets', 'Likely Transiting Exocomets Detected by Kepler')",8.0,"('Trusted Multi-Party Computation and Verifiable Simulations: A Scalable Blockchain Approach', 'ZebraLancer: Crowdsource Knowledge atop Open Blockchain, Privately and Anonymously', 'Detecting Bot Activity in the Ethereum Blockchain Network', 'Towards a scientific blockchain framework for reproducible data analysis', 'A Logic of Blockchain Updates', 'Implementation of Smart Contracts Using Hybrid Architectures with On- and Off-Blockchain Components')",9,"('Incompressible limit of the Navier-Stokes model with a growth term', 'On well-posedness of a velocity-vorticity formulation of the Navier-Stokes equations with no-slip boundary conditions', 'Existence and uniqueness of steady weak solutions to the Navier-Stokes equations in $\\mathbb{R}^2$', 'Selection of quasi-stationary states in the Navier-Stokes equation on the torus', 'Navier-Stokes flow past a rigid body: attainability of steady solutions as limits of unsteady weak solutions, starting and landing cases')",7.0,"('Decomposing the Quantile Ratio Index with applications to Australian income and wealth data', 'Does agricultural subsidies foster Italian southern farms? A Spatial Quantile Regression Approach', 'Statistical Implications of the Revenue Transfer Methodology in the Affordable Care Act')",9.0,"('Microfluidics for Chemical Synthesis: Flow Chemistry', 'The Development of Microfluidic Systems within the Harrison Research Team', 'Theoretical aspects of microscale acoustofluidics')",8.0,"('Investor Reaction to Financial Disclosures Across Topics: An Application of Latent Dirichlet Allocation', 'Using Stock Prices as Ground Truth in Sentiment Analysis to Generate Profitable Trading Signals', 'Stock Market Visualization', 'Ranking Causal Influence of Financial Markets via Directed Information Graphs', ""Exploiting Investors Social Network for Stock Prediction in China's Market"", 'Quantifying macroeconomic expectations in stock markets using Google Trends')",9.0
7,"('Multi-time correlators in continuous measurement of qubit observables', 'Many-body localization caused by temporal disorder')",7.0,"('Dynamic Base Station Repositioning to Improve Spectral Efficiency of Drone Small Cells', 'Handover analysis of the Improved Phantom Cells')",9,"('Infinitary first-order categorical logic', 'Mutual Interpretability of Robinson Arithmetic and Adjunctive Set Theory with Extensionality')",7.0,"('When Work Matters: Transforming Classical Network Structures to Graph CNN', 'Learning Graph Weighted Models on Pictures', 'Dual-Primal Graph Convolutional Networks', 'Mapping Images to Scene Graphs with Permutation-Invariant Structured Prediction')",8.0,"('Kinetics of Protein-DNA Interactions: First-Passage Analysis', 'Kinky DNA in solution: Small angle scattering study of a nucleosome positioning sequence', 'Strong deformations of DNA: Effect on the persistence length', 'The self-referring DNA and protein: a remark on physical and geometrical aspects', 'End-to-end distance and contour length distribution functions of DNA helices', 'Kinetic Trans-assembly of DNA Nanostructures', 'Frictional Effects on RNA Folding: Speed Limit and Kramers Turnover', 'Single-molecule imaging of DNA gyrase activity in living Escherichia coli', 'Determinants of cyclization-decyclization kinetics of short DNA with sticky ends', 'Unveiled electric profiles within hydrogen bonds suggest DNA base pairs with similar bond strengths', 'Short DNA persistence length in a mesoscopic helical model', 'DNA Base Pair Mismatches Induce Structural Changes and Alter the Free Energy Landscape of Base Flip', 'Spontaneous domain formation in disordered copolymers as a mechanism for chromosome structuring', 'Parallel G-duplex and C-duplex DNA with Uninterrupted Spines of AgI-Mediated Base Pairs')",8.0,"('An Expanded Local Variance Gamma model', 'Calibration for Weak Variance-Alpha-Gamma Processes')",8.0
8,"('Viscous dynamics of drops and bubbles in Hele-Shaw cells: drainage, drag friction, coalescence, and bursting', 'Rheology of High-Capillary Number Flow in Porous Media', 'A Ball Breaking Away from a Fluid', 'Surface tension of flowing soap films', 'Cross-stream migration of a surfactant-laden deformable droplet in a Poiseuille flow')",7.0,"('Trusted Multi-Party Computation and Verifiable Simulations: A Scalable Blockchain Approach', 'ZebraLancer: Crowdsource Knowledge atop Open Blockchain, Privately and Anonymously', 'Detecting Bot Activity in the Ethereum Blockchain Network', 'A Logic of Blockchain Updates', 'Implementation of Smart Contracts Using Hybrid Architectures with On- and Off-Blockchain Components')",9,"('Symmetries and multipeakon solutions for the modified two-component Camassa-Holm system', 'A Result of Uniqueness of Solutions of the Shigesada-Kawasaki-Teramoto Equations')",6.0,"('Computationally Efficient Estimation of the Spectral Gap of a Markov Chain', 'Asymptotic Properties of Recursive Maximum Likelihood Estimation in Non-Linear State-Space Models', 'Estimate exponential memory decay in Hidden Markov Model and its applications')",8.0,"('An Unsupervised Homogenization Pipeline for Clustering Similar Patients using Electronic Health Record Data', 'A Framework for Implementing Machine Learning on Omics Data')",8.0,"('Investor Reaction to Financial Disclosures Across Topics: An Application of Latent Dirichlet Allocation', 'Using Stock Prices as Ground Truth in Sentiment Analysis to Generate Profitable Trading Signals', 'Stock Market Visualization', ""Exploiting Investors Social Network for Stock Prediction in China's Market"", 'Quantifying macroeconomic expectations in stock markets using Google Trends')",8.0
9,"('Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'Anisotropy and multiband superconductivity in Sr2RuO4', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals')",6.0,"('A Fast Interior Point Method for Atomic Norm Soft Thresholding', 'High Dynamic Range Imaging Technology', 'Two-pixel polarimetric camera by compressive sensing')",9,"('Polygons with prescribed edge slopes: configuration space and extremal points of perimeter', '$G 1$-smooth splines on quad meshes with 4-split macro-patch elements', 'Any cyclic quadrilateral can be inscribed in any closed convex smooth curve')",6.0,"('Ranking with Adaptive Neighbors', 'Approximate Ranking from Pairwise Comparisons')",8.0,"('Stochastic Chemical Reaction Networks for Robustly Approximating Arbitrary Probability Distributions', 'Joining and decomposing reaction networks')",7.0,"('Generalizing Geometric Brownian Motion', 'Transition probability of Brownian motion in the octant and its application to default modeling', 'Option Pricing Models Driven by the Space-Time Fractional Diffusion: Series Representation and Applications', 'The sum of log-normal variates in geometric Brownian motion', 'Kinetic Theory for Finance Brownian Motion from Microscopic Dynamics', 'On the martingale property in the rough Bergomi model')",8.0
